delta, S
1e-15,0.8862190591728528
1.2589254117941663e-15,0.8862190591728528
1.584893192461111e-15,0.8862190591728529
1.995262314968883e-15,0.8862190591728529
2.511886431509582e-15,0.8862190591728528
3.1622776601683794e-15,0.8862190591728526
3.9810717055349695e-15,0.8862190591728529
5.0118723362727146e-15,0.8862190591728533
6.309573444801943e-15,0.8862190591728536
7.943282347242822e-15,0.8862190591728543
1e-14,0.8862190591728548
1.2589254117941662e-14,0.8862190591728548
1.584893192461111e-14,0.8862190591728548
1.9952623149688828e-14,0.8862190591728548
2.5118864315095823e-14,0.8862190591728547
3.1622776601683796e-14,0.8862190591728544
3.9810717055349693e-14,0.8862190591728536
5.0118723362727144e-14,0.8862190591728516
6.309573444801943e-14,0.8862190591728547
7.943282347242822e-14,0.8862190591728603
1e-13,0.8862190591728646
1.2589254117941663e-13,0.8862190591728738
1.584893192461111e-13,0.8862190591728856
1.9952623149688827e-13,0.8862190591728855
2.511886431509582e-13,0.8862190591728862
3.162277660168379e-13,0.886219059172888
3.981071705534969e-13,0.8862190591728852
5.011872336272715e-13,0.886219059172882
6.309573444801942e-13,0.8862190591728674
7.943282347242822e-13,0.8862190591728335
1e-12,0.8862190591728832
1.258925411794166e-12,0.8862190591729762
1.584893192461111e-12,0.8862190591730493
1.9952623149688827e-12,0.8862190591731884
2.5118864315095823e-12,0.8862190591733407
3.1622776601683794e-12,0.8862190591733489
3.9810717055349695e-12,0.8862190591733877
5.011872336272715e-12,0.8862190591733421
6.309573444801943e-12,0.8862190591733623
7.943282347242821e-12,0.8862190591733041
1e-11,0.8862190591730311
1.2589254117941662e-11,0.886219059172479
1.5848931924611107e-11,0.8862190591732027
1.9952623149688828e-11,0.8862190591748966
2.5118864315095823e-11,0.8862190591752601
3.1622776601683794e-11,0.8862190591773043
3.9810717055349695e-11,0.886219059180758
5.011872336272715e-11,0.8862190591811523
6.309573444801942e-11,0.8862190591812144
7.943282347242822e-11,0.8862190591812524
1e-10,0.8862190591812973
1.2589254117941662e-10,0.8862190591813585
1.584893192461111e-10,0.8862190591800405
1.9952623149688828e-10,0.8862190591685235
2.511886431509582e-10,0.8862190591787221
3.1622776601683795e-10,0.8862190592055575
3.9810717055349694e-10,0.8862190592216203
5.011872336272714e-10,0.8862190592558276
6.309573444801942e-10,0.8862190592952708
7.943282347242822e-10,0.8862190593173787
